count_nintendo_games,name_column,platform_column,year_game,genre_column,transform_date
299,SOLARSTRIKER,GB,1989,Shooter,2026-08-03
300,MARIO VS. DONKEY KONG 2: MARCH OF THE MINIS,DS,2006,Puzzle,2026-08-03
301,POKÉPARK WII: PIKACHU'S ADVENTURE,Wii,2009,Adventure,2026-08-03
302,CAPTAIN TOAD: TREASURE TRACKER,WiiU,2014,Puzzle,2026-08-03
303,KOBE BRYANT IN NBA COURTSIDE,N64,1998,Sports,2026-08-03
304,FINAL FANTASY I & II: DAWN OF SOULS,GBA,2004,Role-Playing,2026-08-03
305,POKEMON SUPER MYSTERY DUNGEON,3DS,2015,Role-Playing,2026-08-03
306,MARIO TENNIS,GB,2000,Sports,2026-08-03
307,WARIO LAND: SHAKE IT!,Wii,2008,Platform,2026-08-03
308,MARIO VS. DONKEY KONG,GBA,2004,Puzzle,2026-08-03
309,JET FORCE GEMINI,N64,1999,Shooter,2026-08-03
310,QIX,GB,1990,Puzzle,2026-08-03
311,DONKEY KONGA,GC,2003,Misc,2026-08-03
312,POKEMON RUMBLE BLAST,3DS,2011,Action,2026-08-03
313,PILOTWINGS,SNES,1990,Simulation,2026-08-03
314,SUPER R.C. PRO-AM,GB,1991,Racing,2026-08-03
315,FANTASY LIFE,3DS,2012,Role-Playing,2026-08-03
316,DONKEY KONG,NES,1983,Platform,2026-08-03
317,POKÉMON MYSTERY DUNGEON: RED RESCUE TEAM (US WEEKLY SALES),GBA,2005,Role-Playing,2026-08-03
318,PILOTWINGS 64,N64,1996,Simulation,2026-08-03
319,YOSHI'S COOKIE,NES,1992,Puzzle,2026-08-03
320,DONKEY KONG JR.,NES,1983,Platform,2026-08-03
321,PIKMIN 3,WiiU,2013,Strategy,2026-08-03
322,THE LEGEND OF ZELDA: TRI FORCE HEROES,3DS,2015,Action,2026-08-03
323,F-ZERO X,N64,1998,Racing,2026-08-03
324,POPEYE,NES,1983,Platform,2026-08-03
325,TALES OF SYMPHONIA,GC,2003,Role-Playing,2026-08-03
326,ENDLESS OCEAN,Wii,2007,Adventure,2026-08-03
327,LEGO CITY UNDERCOVER,WiiU,2013,Platform,2026-08-03
328,STAR FOX: ASSAULT,GC,2005,Shooter,2026-08-03
329,SUPER PRINCESS PEACH,DS,2005,Platform,2026-08-03
330,POKEMON CONQUEST,DS,2012,Role-Playing,2026-08-03
331,NARUTO: CLASH OF NINJA 2,GC,2003,Fighting,2026-08-03
332,F-ZERO: MAXIMUM VELOCITY,GBA,2001,Racing,2026-08-03
333,KIRBY: MASS ATTACK,DS,2011,Platform,2026-08-03
334,DONKEY KONG LAND III,GB,N/A,Platform,2026-08-03
335,BAYONETTA 2,WiiU,2014,Action,2026-08-03
336,EXCITEBIKE 64,N64,2000,Racing,2026-08-03
337,NES OPEN TOURNAMENT GOLF,NES,1991,Sports,2026-08-03
338,GAME & WATCH GALLERY,GB,1997,Misc,2026-08-03
339,XENOBLADE CHRONICLES,Wii,2010,Role-Playing,2026-08-03
340,MARIO PARTY ADVANCE,GBA,2005,Misc,2026-08-03
341,TETRIS 2,NES,1993,Puzzle,2026-08-03
342,FIRE EMBLEM,GBA,2003,Strategy,2026-08-03
343,PILOTWINGS RESORT,3DS,2011,Simulation,2026-08-03
344,WII PLAY: MOTION,Wii,2011,Misc,2026-08-03
345,STAR FOX 64 3D,3DS,2011,Shooter,2026-08-03
346,MARIO TENNIS OPEN,3DS,2012,Sports,2026-08-03
347,THE LEGEND OF ZELDA: TWILIGHT PRINCESS HD,WiiU,2016,Action,2026-08-03
348,BALLOON FIGHT,NES,1985,Platform,2026-08-03
349,DISNEY MAGICAL WORLD,3DS,2013,Adventure,2026-08-03
350,FOSSIL FIGHTERS,DS,2008,Role-Playing,2026-08-03
351,CLASSIC NES SERIES: THE LEGEND OF ZELDA,GBA,2004,Adventure,2026-08-03
352,FIRE EMBLEM: THE SACRED STONES,GBA,2004,Strategy,2026-08-03
353,POKEMON CARD GB2: HERE COMES TEAM GR!,GB,2001,Strategy,2026-08-03
354,WII FIT U,WiiU,2013,Sports,2026-08-03
355,ENDLESS OCEAN: BLUE WORLD,Wii,2009,Simulation,2026-08-03
356,THE LEGENDARY STARFY,DS,2008,Platform,2026-08-03
357,KIRBY: PLANET ROBOBOT,3DS,2016,Action,2026-08-03
358,GOLDEN SUN: DARK DAWN,DS,2010,Role-Playing,2026-08-03
359,XENOBLADE CHRONICLES X,WiiU,2015,Role-Playing,2026-08-03
360,METROID: ZERO MISSION,GBA,2004,Adventure,2026-08-03
361,CLU CLU LAND,NES,1984,Puzzle,2026-08-03
362,KILLER INSTINCT GOLD,N64,1996,Fighting,2026-08-03
363,THE LEGEND OF ZELDA: FOUR SWORDS ADVENTURES,GC,2004,Action,2026-08-03
364,EARTHBOUND,SNES,1994,Role-Playing,2026-08-03
365,MARIO & SONIC AT THE SOCHI 2014 OLYMPIC WINTER GAMES,WiiU,2013,Sports,2026-08-03
366,CAPCOM'S SOCCER SHOOTOUT,SNES,1993,Sports,2026-08-03
367,MAJOR LEAGUE BASEBALL FEATURING KEN GRIFFEY JR,N64,1998,Sports,2026-08-03
368,PERSONAL TRAINER: WALKING,DS,2008,Sports,2026-08-03
369,POKEPARK 2: WONDERS BEYOND,Wii,2011,Action,2026-08-03
370,PROFESSOR LAYTON AND THE AZRAN LEGACY,3DS,2013,Puzzle,2026-08-03
371,METROID PRIME HUNTERS,DS,2006,Shooter,2026-08-03
372,TETRIS PARTY DELUXE,DS,2010,Puzzle,2026-08-03
373,POKEMON DASH,DS,2004,Racing,2026-08-03
374,DONKEY KONG COUNTRY 3,GBA,2005,Platform,2026-08-03
375,JUMP ULTIMATE STARS,DS,2006,Fighting,2026-08-03
